disease_class,crop,disease_name,symptoms,symptoms_hi,symptoms_hinglish,management,management_hi,management_hinglish,prevention,prevention_hi,prevention_hinglish,source
Corn_(maize)___healthy,Corn,Healthy,No obvious disease symptoms are detected in the image.,तस्वीर में बीमारी के कोई स्पष्ट लक्षण दिखाई नहीं दे रहे हैं।,Image mein disease ke koi obvious symptoms detect nahi ho rahe hain.,Continue crop scouting and maintain balanced irrigation and nutrition.,फसल की निगरानी जारी रखें और संतुलित सिंचाई तथा पोषण बनाए रखें।,Crop scouting continue karo aur balanced irrigation aur nutrition maintain karo.,Regular field monitoring and sanitation help identify problems early.,नियमित खेत निगरानी और स्वच्छता से समस्याओं की जल्दी पहचान करने में मदद मिलती है।,Regular field monitoring aur sanitation se problems ko early identify karne mein help milti hai.,General crop-health guidance
Grape___Black_rot,Grape,Black Rot,Brown circular leaf lesions may develop and fruit can develop dark rotting areas before becoming shriveled.,अंगूर की पत्तियों पर भूरे गोल धब्बे बन सकते हैं और फलों पर काले सड़न वाले हिस्से बनकर फल सिकुड़ सकते हैं।,Grape leaves par brown circular lesions ban sakte hain aur fruits par dark rotting areas develop hokar fruit shrivel ho sakta hai.,Remove infected fruit and plant debris and maintain good canopy airflow.,संक्रमित फल और पौधों के अवशेष हटाएं तथा छतरी में अच्छा वायु संचार बनाए रखें।,Infected fruits aur plant debris remove karo aur canopy mein good airflow maintain karo.,Good sanitation and canopy management reduce disease pressure.,अच्छी स्वच्छता और छतरी प्रबंधन से बीमारी का दबाव कम किया जा सकता है।,Good sanitation aur canopy management se disease pressure reduce hota hai.,General plant pathology guidance
Grape___Esca_(Black_Measles),Grape,Esca / Black Measles,Leaf symptoms may include interveinal discoloration and spotting. Fruit can develop dark spots in affected vines.,पत्तियों पर नसों के बीच रंग बदलना और धब्बे दिखाई दे सकते हैं। प्रभावित बेलों के फलों पर गहरे धब्बे बन सकते हैं।,Leaves mein veins ke beech discoloration aur spots aa sakte hain. Affected vines ke fruits par dark spots develop ho sakte hain.,Remove severely affected plant material where appropriate and maintain vineyard sanitation.,जहां उचित हो गंभीर रूप से प्रभावित पौधों के हिस्से हटाएं और बागान की स्वच्छता बनाए रखें।,Jahan appropriate ho severely affected plant material remove karo aur vineyard sanitation maintain karo.,Use healthy planting material and minimize wounds that can provide infection sites.,स्वस्थ रोपण सामग्री का उपयोग करें और ऐसे घावों को कम करें जो संक्रमण का स्थान बन सकते हैं।,Healthy planting material use karo aur aise wounds minimize karo jo infection sites ban sakte hain.,General plant pathology guidance
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Grape,Leaf Blight / Isariopsis Leaf Spot,Leaf spots and blighted areas can develop on grape leaves.,अंगूर की पत्तियों पर धब्बे और झुलसे हुए हिस्से बन सकते हैं।,Grape leaves par spots aur blighted areas develop ho sakte hain.,Remove heavily affected leaves where practical and improve canopy airflow.,जहां संभव हो अधिक प्रभावित पत्तियां हटाएं और छतरी में वायु संचार सुधारें।,Jahan possible ho heavily affected leaves remove karo aur canopy airflow improve karo.,Maintain vineyard sanitation and monitor leaves during favorable weather.,वाइनयार्ड की स्वच्छता बनाए रखें और अनुकूल मौसम में पत्तियों की निगरानी करें।,Vineyard sanitation maintain karo aur favorable weather mein leaves monitor karo.,General plant pathology guidance
Grape___healthy,Grape,Healthy,No obvious disease symptoms are detected in the image.,तस्वीर में बीमारी के कोई स्पष्ट लक्षण दिखाई नहीं दे रहे हैं।,Image mein disease ke koi obvious symptoms detect nahi ho rahe hain.,Continue regular vineyard scouting and maintain appropriate irrigation and nutrition.,वाइनयार्ड की नियमित निगरानी जारी रखें और उचित सिंचाई तथा पोषण बनाए रखें।,Vineyard scouting regularly continue karo aur proper irrigation aur nutrition maintain karo.,Maintain canopy airflow and vineyard sanitation.,छतरी में वायु संचार और वाइनयार्ड की स्वच्छता बनाए रखें।,Canopy airflow aur vineyard sanitation maintain karo.,General crop-health guidance
Orange___Haunglongbing_(Citrus_greening),Orange,Huanglongbing / Citrus Greening,"Leaves can show irregular yellowing or mottling, and affected trees may show declining growth and poor fruit development.",पत्तियों पर अनियमित पीला पड़ना या चितकबरा रंग दिखाई दे सकता है और प्रभावित पेड़ों में वृद्धि कम तथा फलों का विकास खराब हो सकता है।,"Leaves par irregular yellowing ya mottling dikh sakti hai, aur affected trees mein growth decline aur poor fruit development ho sakta hai.",Confirm suspected cases through appropriate agricultural diagnostic services and manage infected trees according to local citrus-health programs.,संदिग्ध मामलों की उचित कृषि निदान सेवा से पुष्टि कराएं और स्थानीय साइट्रस स्वास्थ्य कार्यक्रम के अनुसार संक्रमित पेड़ों का प्रबंधन करें।,Suspected cases ko proper agricultural diagnostic service se confirm karao aur local citrus-health program ke according infected trees manage karo.,Use healthy planting material and monitor trees and vectors regularly.,स्वस्थ रोपण सामग्री का उपयोग करें और पेड़ों तथा रोग फैलाने वाले कीटों की नियमित निगरानी करें।,Healthy planting material use karo aur trees aur vectors ko regularly monitor karo.,Citrus disease management guidance
Peach___Bacterial_spot,Peach,Bacterial Spot,Small dark spots can appear on leaves and fruit. Severe infection may cause leaf loss and fruit blemishes.,पत्तियों और फलों पर छोटे गहरे धब्बे दिखाई दे सकते हैं। गंभीर संक्रमण में पत्तियां गिर सकती हैं और फलों पर दाग बन सकते हैं।,Leaves aur fruits par small dark spots aa sakte hain. Severe infection mein leaf loss aur fruit blemishes ho sakte hain.,Maintain orchard sanitation and use locally recommended resistant cultivars and disease-management practices.,बाग की स्वच्छता बनाए रखें और स्थानीय रूप से अनुशंसित रोग-प्रतिरोधी किस्मों तथा रोग-प्रबंधन पद्धतियों का उपयोग करें।,Orchard sanitation maintain karo aur locally recommended resistant cultivars aur disease-management practices use karo.,"Avoid unnecessary leaf wetness and monitor during warm, wet weather.",अनावश्यक पत्तियों की नमी से बचें और गर्म तथा नम मौसम में निगरानी करें।,"Unnecessary leaf wetness avoid karo aur warm, wet weather mein monitor karo.",General plant pathology guidance
Peach___healthy,Peach,Healthy,No obvious disease symptoms are detected in the image.,तस्वीर में बीमारी के कोई स्पष्ट लक्षण दिखाई नहीं दे रहे हैं।,Image mein disease ke koi obvious symptoms detect nahi ho rahe hain.,Continue regular orchard monitoring and balanced crop management.,बाग की नियमित निगरानी जारी रखें और संतुलित फसल प्रबंधन बनाए रखें।,Regular orchard monitoring continue karo aur balanced crop management maintain karo.,Maintain sanitation and good canopy airflow.,स्वच्छता और छतरी में अच्छा वायु संचार बनाए रखें।,Sanitation aur canopy mein good airflow maintain karo.,General crop-health guidance
"Pepper,_bell___Bacterial_spot",Bell Pepper,Bacterial Spot,Small dark water-soaked or brown lesions can occur on leaves and fruit.,"पत्तियों और फलों पर छोटे गहरे, पानी से भीगे हुए या भूरे घाव बन सकते हैं।","Leaves aur fruits par small dark, water-soaked ya brown lesions ho sakte hain.","Remove severely affected material where appropriate, avoid unnecessary overhead irrigation, and follow local disease-management guidance.","जहां उचित हो गंभीर रूप से प्रभावित हिस्से हटाएं, अनावश्यक ऊपर से सिंचाई से बचें और स्थानीय रोग-प्रबंधन दिशानिर्देशों का पालन करें।","Jahan appropriate ho severely affected material remove karo, unnecessary overhead irrigation avoid karo aur local disease-management guidance follow karo.",Use clean planting material and maintain good field sanitation.,स्वच्छ रोपण सामग्री का उपयोग करें और खेत की अच्छी स्वच्छता बनाए रखें।,Clean planting material use karo aur good field sanitation maintain karo.,General plant pathology guidance
"Pepper,_bell___healthy",Bell Pepper,Healthy,No obvious disease symptoms are detected in the image.,तस्वीर में बीमारी के कोई स्पष्ट लक्षण दिखाई नहीं दे रहे हैं।,Image mein disease ke koi obvious symptoms detect nahi ho rahe hain.,Continue regular scouting and balanced crop management.,नियमित निगरानी जारी रखें और संतुलित फसल प्रबंधन बनाए रखें।,Regular scouting continue karo aur balanced crop management maintain karo.,Maintain sanitation and avoid prolonged leaf wetness.,स्वच्छता बनाए रखें और पत्तियों पर लंबे समय तक नमी रहने से बचें।,Sanitation maintain karo aur prolonged leaf wetness avoid karo.,General crop-health guidance
Potato___Early_blight,Potato,Early Blight,Older leaves may develop brown lesions with concentric ring patterns and gradually decline.,पुरानी पत्तियों पर भूरे धब्बे बन सकते हैं जिनमें गोल-गोल छल्लों जैसे पैटर्न होते हैं और पत्तियां धीरे-धीरे खराब होती हैं।,Older leaves par brown lesions develop ho sakte hain jinmein concentric ring patterns hote hain aur leaves gradually decline karti hain.,"Maintain crop rotation, remove infected plant debris where practical, and use locally recommended disease-management practices.","फसल चक्र अपनाएं, जहां संभव हो संक्रमित पौधों के अवशेष हटाएं और स्थानीय रूप से अनुशंसित रोग-प्रबंधन पद्धतियों का पालन करें।","Crop rotation maintain karo, jahan possible ho infected debris remove karo aur locally recommended disease-management practices follow karo.","Use healthy planting material, maintain plant vigor, and avoid unnecessary leaf wetness.","स्वस्थ रोपण सामग्री का उपयोग करें, पौधों को स्वस्थ रखें और अनावश्यक पत्तियों की नमी से बचें।","Healthy planting material use karo, plant vigor maintain karo aur unnecessary leaf wetness avoid karo.",University of Minnesota Extension
Potato___Late_blight,Potato,Late Blight,"Dark water-soaked lesions can rapidly enlarge on leaves and stems, especially under cool and wet conditions.","पत्तियों और तनों पर गहरे पानी से भीगे हुए घाव तेजी से फैल सकते हैं, खासकर ठंडी और नम परिस्थितियों में।","Leaves aur stems par dark water-soaked lesions rapidly enlarge ho sakte hain, especially cool aur wet conditions mein.","Scout frequently, remove infected material where appropriate, and follow locally approved late-blight management guidance.","नियमित रूप से फसल की जांच करें, जहां उचित हो संक्रमित हिस्से हटाएं और स्थानीय रूप से स्वीकृत लेट ब्लाइट प्रबंधन दिशानिर्देशों का पालन करें।","Crop ko frequently scout karo, jahan appropriate ho infected material remove karo aur locally approved late-blight management guidance follow karo.",Use healthy seed material and monitor weather conditions that favor disease development.,स्वस्थ बीज सामग्री का उपयोग करें और बीमारी के विकास के अनुकूल मौसम की निगरानी करें।,Healthy seed material use karo aur disease development ke favorable weather conditions monitor karo.,General plant pathology guidance
Potato___healthy,Potato,Healthy,No obvious disease symptoms are detected in the image.,तस्वीर में बीमारी के कोई स्पष्ट लक्षण दिखाई नहीं दे रहे हैं।,Image mein disease ke koi obvious symptoms detect nahi ho rahe hain.,Continue regular field scouting and balanced crop management.,नियमित खेत निगरानी जारी रखें और संतुलित फसल प्रबंधन बनाए रखें।,Regular field scouting continue karo aur balanced crop management maintain karo.,Use healthy planting material and maintain field sanitation.,स्वस्थ रोपण सामग्री का उपयोग करें और खेत की स्वच्छता बनाए रखें।,Healthy planting material use karo aur field sanitation maintain karo.,General crop-health guidance
Raspberry___healthy,Raspberry,Healthy,No obvious disease symptoms are detected in the image.,तस्वीर में बीमारी के कोई स्पष्ट लक्षण दिखाई नहीं दे रहे हैं।,Image mein disease ke koi obvious symptoms detect nahi ho rahe hain.,Continue regular crop monitoring and maintain good airflow and sanitation.,फसल की नियमित निगरानी जारी रखें और अच्छा वायु संचार तथा स्वच्छता बनाए रखें।,Regular crop monitoring continue karo aur good airflow aur sanitation maintain karo.,Remove diseased plant material when observed and avoid excessive canopy humidity.,रोगग्रस्त पौधों के हिस्से दिखाई देने पर हटाएं और अत्यधिक छतरी नमी से बचें।,Diseased plant material dikhe to remove karo aur excessive canopy humidity avoid karo.,General crop-health guidance
Rice___Brown_Spot,Rice,Brown Spot,"Brown, generally rounded lesions can appear on rice leaves and may have yellowish halos.","चावल की पत्तियों पर भूरे, सामान्यतः गोल घाव दिखाई दे सकते हैं और उनके चारों ओर पीले घेरे हो सकते हैं।","Rice leaves par brown, generally round lesions aa sakte hain aur unke around yellowish halos ho sakte hain.",Maintain balanced crop nutrition and avoid plant stress. Use healthy seed and follow locally recommended rice disease-management practices.,संतुलित पोषण बनाए रखें और पौधों पर तनाव से बचें। स्वस्थ बीज का उपयोग करें और स्थानीय रूप से अनुशंसित चावल रोग-प्रबंधन पद्धतियों का पालन करें।,Balanced crop nutrition maintain karo aur plant stress avoid karo. Healthy seed use karo aur locally recommended rice disease-management practices follow karo.,"Use quality seed, maintain balanced fertility, and monitor fields regularly.","अच्छी गुणवत्ता वाले बीज का उपयोग करें, संतुलित उर्वरता बनाए रखें और खेतों की नियमित निगरानी करें।","Quality seed use karo, balanced fertility maintain karo aur fields ko regularly monitor karo.",IRRI Rice Knowledge Bank
Rice___Healthy,Rice,Healthy,No obvious disease symptoms are detected in the image.,तस्वीर में बीमारी के कोई स्पष्ट लक्षण दिखाई नहीं दे रहे हैं।,Image mein disease ke koi obvious symptoms detect nahi ho rahe hain.,Continue regular crop monitoring and maintain balanced irrigation and nutrition.,फसल की नियमित निगरानी जारी रखें और संतुलित सिंचाई तथा पोषण बनाए रखें।,Regular crop monitoring continue karo aur balanced irrigation aur nutrition maintain karo.,Use healthy seed and maintain field sanitation.,स्वस्थ बीज का उपयोग करें और खेत की स्वच्छता बनाए रखें।,Healthy seed use karo aur field sanitation maintain karo.,General crop-health guidance
Rice___Leaf_Blast,Rice,Leaf Blast,Leaf lesions are often spindle or diamond shaped with gray or whitish centers and darker margins.,"पत्तियों पर अक्सर तकली या हीरे के आकार के घाव दिखाई देते हैं, जिनके केंद्र धूसर या सफेद और किनारे गहरे होते हैं।","Leaves par aksar spindle ya diamond-shaped lesions dikhte hain, jinke centers gray ya whitish aur margins darker hote hain.","Use resistant varieties where available, avoid excessive nitrogen, maintain appropriate crop management, and follow local blast-management recommendations.","जहां उपलब्ध हो रोग-प्रतिरोधी किस्मों का उपयोग करें, अत्यधिक नाइट्रोजन से बचें, उचित फसल प्रबंधन करें और स्थानीय ब्लास्ट प्रबंधन सिफारिशों का पालन करें।","Available ho to resistant varieties use karo, excessive nitrogen avoid karo, proper crop management maintain karo aur local blast-management recommendations follow karo.","Use healthy seed, monitor during favorable weather, and manage nitrogen carefully.","स्वस्थ बीज का उपयोग करें, अनुकूल मौसम में निगरानी करें और नाइट्रोजन का सावधानी से प्रबंधन करें।","Healthy seed use karo, favorable weather mein monitor karo aur nitrogen carefully manage karo.",IRRI Rice Knowledge Bank
Rice___Neck_Blast,Rice,Neck Blast,Grayish-brown lesions can develop around the neck of the panicle and may cause panicles to bend or fail to fill properly.,फूलों की बालियों की गर्दन के आसपास धूसर-भूरे घाव बन सकते हैं और बालियां मुड़ सकती हैं या उनमें दाने ठीक से नहीं भर पाते।,Panicle ke neck ke around grayish-brown lesions develop ho sakte hain aur panicles bend ho sakte hain ya properly fill nahi ho pate.,"Use resistant varieties where available and follow local blast-management recommendations, especially around heading.",जहां उपलब्ध हो रोग-प्रतिरोधी किस्मों का उपयोग करें और विशेषकर बालियां निकलने के समय स्थानीय ब्लास्ट-प्रबंधन सिफारिशों का पालन करें।,Available ho to resistant varieties use karo aur especially heading ke time local blast-management recommendations follow karo.,Monitor the crop around heading and avoid excessive nitrogen.,बालियां निकलने के समय फसल की निगरानी करें और अत्यधिक नाइट्रोजन से बचें।,Heading ke around crop monitor karo aur excessive nitrogen avoid karo.,IRRI Rice Knowledge Bank
Soybean___healthy,Soybean,Healthy,No obvious disease symptoms are detected in the image.,तस्वीर में बीमारी के कोई स्पष्ट लक्षण दिखाई नहीं दे रहे हैं।,Image mein disease ke koi obvious symptoms detect nahi ho rahe hain.,Continue regular scouting and balanced crop management.,नियमित निगरानी जारी रखें और संतुलित फसल प्रबंधन बनाए रखें।,Regular scouting continue karo aur balanced crop management maintain karo.,Use quality seed and maintain field sanitation.,अच्छी गुणवत्ता वाले बीज का उपयोग करें और खेत की स्वच्छता बनाए रखें।,Quality seed use karo aur field sanitation maintain karo.,General crop-health guidance
Squash___Powdery_mildew,Squash,Powdery Mildew,White powder-like fungal growth develops on leaf surfaces and may spread across the foliage.,पत्तियों की सतह पर सफेद पाउडर जैसी फफूंद बढ़ती है और पूरे पत्तों पर फैल सकती है।,Leaf surfaces par white powder-like fungal growth develop hoti hai aur foliage par spread ho sakti hai.,"Improve airflow, monitor new growth, remove heavily affected leaves where practical, and follow locally approved management guidance.","वायु संचार सुधारें, नई वृद्धि की निगरानी करें, जहां संभव हो अधिक प्रभावित पत्तियां हटाएं और स्थानीय रूप से स्वीकृत प्रबंधन दिशानिर्देशों का पालन करें।","Airflow improve karo, new growth monitor karo, jahan possible ho heavily affected leaves remove karo aur locally approved management guidance follow karo.",Avoid excessive canopy humidity and maintain appropriate plant spacing.,छतरी में अत्यधिक नमी से बचें और पौधों के बीच उचित दूरी बनाए रखें।,Excessive canopy humidity avoid karo aur proper plant spacing maintain karo.,General plant pathology guidance
Strawberry___healthy,Strawberry,Healthy,No obvious disease symptoms are detected in the image.,तस्वीर में बीमारी के कोई स्पष्ट लक्षण दिखाई नहीं दे रहे हैं।,Image mein disease ke koi obvious symptoms detect nahi ho rahe hain.,Continue regular scouting and balanced crop management.,नियमित निगरानी जारी रखें और संतुलित फसल प्रबंधन बनाए रखें।,Regular scouting continue karo aur balanced crop management maintain karo.,Maintain sanitation and good airflow.,स्वच्छता और अच्छा वायु संचार बनाए रखें।,Sanitation aur good airflow maintain karo.,General crop-health guidance
Strawberry___Leaf_scorch,Strawberry,Leaf Scorch,Leaves can develop dark purple to brown spots that may expand and give foliage a scorched appearance.,पत्तियों पर गहरे बैंगनी से भूरे धब्बे बन सकते हैं जो फैलकर पत्तियों को झुलसा हुआ रूप देते हैं।,Leaves par dark purple se brown spots develop ho sakte hain jo spread hokar foliage ko scorched appearance dete hain.,Remove severely affected leaves where appropriate and maintain good field sanitation and airflow.,जहां उचित हो गंभीर रूप से प्रभावित पत्तियां हटाएं और खेत की अच्छी स्वच्छता तथा वायु संचार बनाए रखें।,Jahan appropriate ho severely affected leaves remove karo aur good field sanitation aur airflow maintain karo.,Use healthy planting material and monitor foliage regularly.,स्वस्थ रोपण सामग्री का उपयोग करें और पत्तियों की नियमित निगरानी करें।,Healthy planting material use karo aur foliage ko regularly monitor karo.,General plant pathology guidance
Sugarcane___Healthy,Sugarcane,Healthy,No obvious disease symptoms are detected in the image.,तस्वीर में बीमारी के कोई स्पष्ट लक्षण दिखाई नहीं दे रहे हैं।,Image mein disease ke koi obvious symptoms detect nahi ho rahe hain.,Continue regular crop monitoring and use healthy planting material.,फसल की नियमित निगरानी जारी रखें और स्वस्थ रोपण सामग्री का उपयोग करें।,Regular crop monitoring continue karo aur healthy planting material use karo.,Maintain field sanitation and monitor the crop regularly.,खेत की स्वच्छता बनाए रखें और फसल की नियमित निगरानी करें।,Field sanitation maintain karo aur crop ko regularly monitor karo.,TNAU Agritech / General crop-health guidance
